Name,Content,State,ASIL,Rationale,Covers(int),Refined(int)
REQ-LLD-001,"When a user inputs physical digits, the [ATM Client Terminal] shall invoke `client.verifyPINFormat()` to validate the length before execution.",Released,ASIL-B,Validates basic numeric formatting rules locally at the interface edge layer.,REQ-GOOD-001,
REQ-LLD-002,"When `client.verifyPINFormat()` detects an invalid length, the [ATM Client Terminal] shall display an error message within 500 milliseconds.",Released,ASIL-B,Guarantees immediate UI feedback loop when string conditions are violated.,REQ-GOOD-001,
REQ-LLD-003,"Where an encrypted handshake is initiated, the [ATM Controller] shall execute `middleware.router.routeRequest()` within 100 milliseconds.",Released,ASIL-D,Enforces crisp execution times within the core message routing layer.,REQ-GOOD-002,
REQ-LLD-004,"When `middleware.router.routeRequest()` executes, the User Session State Handler shall extract the `session_id` from the payload buffer.",Released,ASIL-D,Ensures precise parsing of the identification token from incoming packets.,REQ-GOOD-002,
REQ-LLD-005,"When the user selects a withdrawal transaction, the [ATM Client Terminal] shall package the `withdrawal_amount` into the payload structure.",Released,ASIL-B,Guarantees the financial variable is properly bound inside the client message.,REQ-GOOD-003,
REQ-LLD-006,"If the network connection drops during a withdrawal selection, the [ATM Client Terminal] shall abort data transmission.",Released,ASIL-B,Safely prevents dangling network sockets when physical links fail during use.,REQ-GOOD-003,
REQ-LLD-007,"If the [ATM Controller] transmits a Ledger Balance Query, the [CBS Bank Host] shall invoke `core.checkLedgerBalance()` within 400 milliseconds.",Released,ASIL-B,Enforces low latency constraints on the core database query methods.,REQ-GOOD-004,
REQ-LLD-008,"When `core.checkLedgerBalance()` returns a query timeout, the [CBS Bank Host] shall broadcast a null balance token to the middleware router.",Released,ASIL-B,Standardizes system behavior when a database thread fails to return data.,REQ-GOOD-004,
REQ-LLD-009,"When `Core_Verify()` returns an authentication failure, the [ATM Controller] shall decrement the remaining attempt counter by exactly 1.",Released,ASIL-B,Manages state logic variables safely across successive verification cycles.,REQ-GOOD-005,
REQ-LLD-010,"If the attempt counter reaches zero during the PIN Verification Loop, the [ATM Client Terminal] shall transition to a terminal locked state.",Released,ASIL-D,Prevents brute-force attempts by hard-locking the interactive UI interface.,REQ-GOOD-005,
REQ-LLD-011,"When an AuthStatus of approved is received, the [ATM Controller] shall invoke `DispenseCash(amount: 100)` within 50 milliseconds.",Released,ASIL-D,"Guarantees fast, predictable delivery of the physical action command.",REQ-GOOD-006,
REQ-LLD-012,"While the `DispenseCash` method is executing, the [ATM Client Terminal] shall toggle the physical cash shutter output relay to open.",Released,ASIL-D,Coordinates low-level hardware interactions during physical currency delivery.,REQ-GOOD-006,
REQ-LLD-013,"If the Security Gateway flags an authentication failure, the [ATM Controller] shall push the event log to the Error Handling & Logging node.",Released,ASIL-B,Automates immediate local archival of unauthorized perimeter access events.,REQ-GOOD-007,
REQ-LLD-014,"When the Error Handling & Logging node receives a failure log, it shall write the entry to non-volatile storage within 50 milliseconds.",Released,ASIL-B,Guarantees audit trails are permanently captured before a system crash occurs.,REQ-GOOD-007,
REQ-LLD-015,"When the cash is successfully dispensed, the [ATM Client Terminal] shall execute `client.dispenser.dispenseStatus()` to verify empty optics.",Released,ASIL-B,Employs hardware sensors to double-check delivery before clearing states.,REQ-GOOD-008,
REQ-LLD-016,"When `client.dispenser.dispenseStatus()` returns true, the [ATM Client Terminal] shall invoke the `TerminalUpdate()` method instantly.",Released,ASIL-B,Links mechanical success flags directly to logical terminal update calls.,REQ-GOOD-008,
REQ-LLD-017,"If the connection to the [CBS Bank Host] times out, the [ATM Controller] shall transmit an `Acknowledge(session_closed)` packet to the client.",Released,ASIL-B,Orders explicit teardown packets when the back-end infrastructure is lost.,REQ-GOOD-009,
REQ-LLD-018,"When an `Acknowledge(session_closed)` packet is parsed, the [ATM Client Terminal] shall transition to the out of service display screen.",Released,ASIL-A,Modifies user-facing screens dynamically based on network teardown events.,REQ-GOOD-009,
REQ-LLD-019,"When the User Session State Handler detects 30 seconds of user inactivity, it shall purge the active session data cache.",Released,ASIL-B,Hardens defense by flushing session tokens out of volatile memory.,REQ-GOOD-010,
REQ-LLD-020,"When a session data cache is purged due to a timeout, the [ATM Controller] shall transmit a close instruction to the active channel router.",Released,ASIL-B,Propagates local session terminations down to the network routing layers.,REQ-GOOD-010,
REQ-LLD-021,"While processing concurrent streams, the Network Message Routing Logic shall limit individual thread creation to 200 instances.",Released,ASIL-B,Caps concurrent resource allocation to maintain system performance profiles.,REQ-GOOD-011,
REQ-LLD-022,"If incoming request counts exceed 200, the Network Message Routing Logic shall redirect extra payloads to a memory queue buffer.",Released,ASIL-B,Prevents heap saturation or crash events by introducing system backpressure.,REQ-GOOD-011,
REQ-LLD-023,"When the Transaction Validation Engine identifies a malformed `encrypted_pin_block`, the [ATM Controller] shall discard the network block.",Released,ASIL-D,Filters structurally invalid cryptographic elements before they reach routing.,REQ-GOOD-012,
REQ-LLD-024,"When an `encrypted_pin_block` is discarded as corrupt, the [ATM Controller] shall append a failure trace code to the active log payload.",Released,ASIL-D,Provides specific diagnostic tags for security teams investigating errors.,REQ-GOOD-012,
REQ-LLD-025,"If the Customer Account Ledger DB is offline, the Transaction Authorization Router shall intercept all incoming `Core_Request()` calls.",Released,ASIL-B,Implements a fast-fail defense at the gateway level when backends are down.,REQ-GOOD-013,
REQ-LLD-026,"When a `Core_Request()` call is intercepted by the router, the [CBS Bank Host] shall return a direct DB_OFFLINE status code token.",Released,ASIL-B,Standardizes the error signature sent upstream when storage cells fail.,REQ-GOOD-013,
REQ-LLD-027,"When a user inputs physical keys, the Logical Human Interaction Layer shall replace numeric text with mask characters on the display.",Released,ASIL-B,Obfuscates sensitive entries in the UI layer before formatting string buffers.,REQ-GOOD-014,
REQ-LLD-028,"When mask characters are rendered on the UI, the [ATM Client Terminal] shall clear the raw character registers from memory buffers within 10 milliseconds.",Released,ASIL-B,Eliminated residual human inputs from transient terminal memory structures.,REQ-GOOD-014,
REQ-LLD-029,"When data transmission occurs, the [ATM Client Terminal] shall apply an AES-256 cipher block to the `data_payload` before socket transmission.",Released,ASIL-D,Encrypts transaction message elements cleanly before they hit transit wires.,REQ-GOOD-015,
REQ-LLD-030,"When the `data_payload` is encrypted, the [ATM Client Terminal] shall append an HMAC SHA-256 signature code to the tail of the stream block.",Released,ASIL-D,Protects transaction blocks against man-in-the-middle manipulation attempts.,REQ-GOOD-015,
REQ-LLD-031,"When a dispenser hardware error is reported, the [ATM Client Terminal] shall disable the physical cash delivery stepper motor driver.",Released,ASIL-D,Cuts motor power lines instantly if mechanical feedback sensors report anomalies.,REQ-GOOD-016,
REQ-LLD-032,"When the cash delivery stepper motor is disabled, the [ATM Client Terminal] shall transmit an active hardware failure alert code up to the middleware.",Released,ASIL-D,Escalates severe mechanical line blocks to the central tracking services.,REQ-GOOD-016,
REQ-LLD-033,"If a transaction approval token is delayed past 5 seconds, the [ATM Controller] shall invoke an internal fallback balance reversal routine.",Released,ASIL-D,Maintains system balance integrity when communication windows expire mid-flight.,REQ-GOOD-017,
REQ-LLD-034,"When the internal balance reversal routine completes, the [ATM Controller] shall log the transaction status as REVERSED in the system logs.",Released,ASIL-D,Creates clean audit paths indicating when auto-reversal triggers executed.,REQ-GOOD-017,
REQ-LLD-035,"When the user selects a withdrawal amount, the [ATM Client Terminal] shall query the local `vault_balance_current` tracking variable.",Released,ASIL-A,Evaluates local currency inventory limits before routing transaction packets.,REQ-GOOD-018,
REQ-LLD-036,"If the selected amount is greater than `vault_balance_current`, the [ATM Client Terminal] shall cancel message packaging sequences.",Released,ASIL-A,Avoids generating wasteful network load when physical cash pools are dry.,REQ-GOOD-018,
REQ-LLD-037,"Where multi-tenant message routing logic is applied, the [ATM Controller] shall partition channel identifiers into isolated memory segments.",Released,ASIL-D,Enforces hard boundaries between virtual pathways to block cross-talk data leaks.,REQ-GOOD-019,
REQ-LLD-038,"When a channel identifier is verified, the Network Message Routing Logic shall apply an explicit routing mask matching that channel ID.",Released,ASIL-D,Restricts operational data pathways exclusively to verified routing paths.,REQ-GOOD-019,
REQ-LLD-039,"When the Security Gateway identifies a fraud risk flag, the [CBS Bank Host] shall terminate the associated database transaction thread.",Released,ASIL-D,Halts account balance adjustment loops instantly if fraud signatures trip.,REQ-GOOD-020,
REQ-LLD-040,"When a database transaction thread is terminated due to fraud, the Security Gateway shall flag the account identifier status as SUSPENDED.",Released,ASIL-D,Systematically protects compromised profiles against further extraction attempts.,REQ-GOOD-020,
REQ-LLD-041,"If the terminal hardware cover switch transitions to open, the [ATM Client Terminal] shall clear its volatile encryption key registers.",Released,ASIL-C,Erases cryptographic data if chassis sensors detect physical tampering.,REQ-GOOD-021,
REQ-LLD-042,"When the encryption key registers are cleared, the [ATM Client Terminal] shall transmit a silent alert signal code to the middleware router.",Released,ASIL-C,Dispatches emergency security messages to core nodes during tamper events.,REQ-GOOD-021,
REQ-LLD-043,"When the Transaction Authorization Router receives a packet, it shall assign the packet to the `core.authorizeWithdrawal()` execution queue.",Released,ASIL-B,Formally passes processing control to the core accounting framework.,REQ-GOOD-022,
REQ-LLD-044,"When the packet is queued, the Transaction Authorization Router shall verify that execution starts within 50 milliseconds.",Released,ASIL-B,Confirms the core processing pipeline satisfies internal timing rules.,REQ-GOOD-022,
REQ-LLD-045,"Where power failure occurs at the terminal, the [ATM Client Terminal] shall redirect its processing logic to run off its onboard backup capacitors.",Released,ASIL-D,Leverages short-term physical reserves to finish vital ledger updates.,REQ-GOOD-023,
REQ-LLD-046,"While running off backup capacitors, the [ATM Client Terminal] shall copy unwritten log frames into non-volatile flash storage blocks.",Released,ASIL-D,Keeps operational tracing files intact when hardware stations lose mains power.,REQ-GOOD-023,
REQ-LLD-047,"When a user cancels during the PIN Verification Loop, the [ATM Client Terminal] shall de-energize the card capture latch mechanism.",Released,ASIL-A,Releases physical locking traps so the customer can recover their payment card.,REQ-GOOD-024,
REQ-LLD-048,"When the card capture latch mechanism de-energizes, the [ATM Client Terminal] shall pulse the card intake motor in reverse for 1500 milliseconds.",Released,ASIL-A,Drives mechanical components backward to smoothly present the card to the user.,REQ-GOOD-024,
REQ-LLD-049,"If the [ATM Controller] experiences a crash, the User Session State Handler shall reload the last cached state record from storage upon reboot.",Released,ASIL-B,Reconstitutes application runtime parameters cleanly after failure events.,REQ-GOOD-025,
REQ-LLD-050,"When the last cached state record is reloaded, the User Session State Handler shall issue an audit validation call to checking routers.",Released,ASIL-B,Cross-references reloaded records with core nodes to identify mismatches.,REQ-GOOD-025,
REQ-LLD-051,The [ATM Client Terminal] should try to run `client.verifyPINFormat()` quickly whenever a user plays with the physical inputs.,InWork,ASIL-A,"Uses vague terms ('should try', 'quickly', 'plays with'); non-measurable.",REQ-GOOD-001,
REQ-LLD-052,"When the PIN is entered, the client should think about format verification and handle things gracefully if it looks weird.",InWork,ASIL-B,Anthropomorphic ('think about'); ambiguous error condition ('looks weird').,REQ-GOOD-001,
REQ-LLD-053,The `middleware.router.routeRequest()` logic must execute instantly so that the user does not get annoyed waiting at the terminal.,InWork,ASIL-D,"Non-technical performance goals ('instantly', 'does not get annoyed').",REQ-GOOD-002,
REQ-LLD-054,The middleware router shall handle the handshake packet perfectly and never drop any transaction data unless something bad happens.,InWork,ASIL-D,Unverifiable target ('perfectly'); open-ended exception ('something bad happens').,REQ-GOOD-002,
REQ-LLD-055,The [ATM Client Terminal] shall pack up the withdrawal amount and send the payload packet to the controller in an agile manner.,InWork,ASIL-B,Uses buzzwords ('agile manner') which cannot be tested or measured.,REQ-GOOD-003,
REQ-LLD-056,"If a user selects exactly $100, the client system should push that payload through the wires and hope for a quick reply token.",InWork,ASIL-B,"Contains non-binding language ('should', 'hope for') and unmeasured speed rules.",REQ-GOOD-003,
REQ-LLD-057,The `core.checkLedgerBalance()` routine must look up the customer database really fast without causing any server lag at all.,InWork,ASIL-B,"Subjective speed targets ('really fast', 'any server lag at all').",REQ-GOOD-004,
REQ-LLD-058,"When the host gets a ledger balance query, it should run its database scripts nicely and pass data back if things are cool.",InWork,ASIL-B,"Informal slang expressions ('nicely', 'if things are cool'); non-verifiable.",REQ-GOOD-004,
REQ-LLD-059,"If PIN verification loop fails, the system should basically let the user try again until they get it right or get tired.",InWork,ASIL-B,Indefinite execution loops ('until they get it right or get tired'); highly ambiguous.,REQ-GOOD-005,
REQ-LLD-060,The loop module must verify PIN codes and retry transactions and block bad users and display nice screens all at once.,InWork,ASIL-B,Combines multiple distinct tasks into one requirement; violates EARS simplicity.,REQ-GOOD-005,
REQ-LLD-061,"When `DispenseCash` is called, cash money should fly out of the terminal vault shutter safely and quickly every single time.",InWork,ASIL-D,Unprofessional terminology ('cash money should fly out') and unmeasurable targets.,REQ-GOOD-060,
REQ-LLD-062,"If an approval token shows up at the terminal dispenser, it must process the cash dispensing thing like we talked about in the meeting.",InWork,ASIL-D,Circular reference back to informal outside sources ('like we talked about in the meeting').,REQ-GOOD-006,
REQ-LLD-063,The Error Handling & Logging block should catch gateway errors and write them somewhere safe without taking up too much disk room.,InWork,ASIL-B,"Vague locations and metrics ('somewhere safe', 'too much disk room').",REQ-GOOD-007,
REQ-LLD-064,"Where security gateway logs are generated, the logging database must save them beautifully so engineers can read them easily.",InWork,ASIL-A,"Purely subjective design expectations ('beautifully', 'easily').",REQ-GOOD-007,
REQ-LLD-065,"When the cash is gone, `client.dispenser.dispenseStatus()` needs to update the controller state quickly before the user walks away.",InWork,ASIL-B,Vague time boundaries dependent on external user behavior ('before the user walks away').,REQ-GOOD-008,
REQ-LLD-066,The terminal state update packet must be sent to the middleware loop so that management can track terminal metrics over the web.,InWork,ASIL-A,Outlines business objectives rather than describing technical software behavior.,REQ-GOOD-008,
REQ-LLD-067,"If the host connection times out, the middleware should try its best to fix the line or pop up an error message eventually.",InWork,ASIL-B,"Vague and indefinite recovery timeframes ('try its best', 'eventually').",REQ-GOOD-009,
REQ-LLD-068,"When a core timeout token happens, the controller should throw a fit and tell the terminal that things are broken.",InWork,ASIL-A,"Uses highly unprofessional, non-technical slang ('throw a fit', 'things are broken').",REQ-GOOD-009,
REQ-LLD-069,The User Session State Handler should destroy data pools when the user goes idle for a little bit to block sneaky hackers.,InWork,ASIL-B,Unquantified timeline metrics ('for a little bit') and emotional language ('sneaky hackers').,REQ-GOOD-010,
REQ-LLD-070,"When session timeouts trigger, the system must clean up active variables so the machine looks fresh for the next person using it.",InWork,ASIL-A,Completely subjective performance conditions ('looks fresh').,REQ-GOOD-010,
REQ-LLD-071,The routing logic must handle a ton of requests at the same time without showing any signs of system stress or slowdowns.,InWork,ASIL-B,"Non-measurable scalability parameters ('a ton', 'signs of system stress').",REQ-GOOD-011,
REQ-LLD-072,"While routing logic is dealing with massive traffic, it should execute code flawlessly like modern high-end software.",InWork,ASIL-B,"Meaningless comparison statements ('flawlessly', 'like modern high-end software').",REQ-GOOD-011,
REQ-LLD-073,"If the validation engine sees a messed up payload block, it should drop it like a hot potato and throw a massive error code.",InWork,ASIL-D,"Uses unprofessional expressions ('drop it like a hot potato', 'massive error code').",REQ-GOOD-012,
REQ-LLD-074,"When corrupted data payloads arrive at the middleware layer, the system should handle them safely without exploding the application.",InWork,ASIL-D,"Highly ambiguous safety guidelines ('safely', 'without exploding the application').",REQ-GOOD-012,
REQ-LLD-075,"If the ledger database goes to sleep, the host router should tell everyone that requests are totally blocked for now.",InWork,ASIL-B,"Ambiguous state names and scopes ('goes to sleep', 'tell everyone', 'totally blocked').",REQ-GOOD-013,
REQ-LLD-076,"When account databases fail, the system must drop core requests beautifully so the network backend does not get ruined.",InWork,ASIL-B,"Vague technical risk parameters ('beautifully', 'does not get ruined').",REQ-GOOD-013,
REQ-LLD-077,The display screen must hide user key entries with stars or dots so that bad people behind them can't see the secret numbers.,InWork,ASIL-B,"Emotional, non-technical phrasing ('bad people', 'secret numbers').",REQ-GOOD-014,
REQ-LLD-078,"When physical keys are clicked, the UI needs to react super fast so the user knows their key input actually worked fine.",InWork,ASIL-B,"Lacks specific numeric timing limits ('super fast', 'worked fine').",REQ-GOOD-014,
REQ-LLD-079,The terminal application must scramble the transaction payload with AES code so well that no one can decrypt it ever.,InWork,ASIL-D,"Vague crypto capability targets ('scramble... so well', 'no one can decrypt it ever').",REQ-GOOD-015,
REQ-LLD-080,"Where payloads flow across wires, they should be encrypted using super modern tools that match global corporate standards.",InWork,ASIL-D,"Meaningless marketing buzzwords ('super modern tools', 'global corporate standards').",REQ-GOOD-015,
REQ-LLD-081,"If the cash machine gets jammed up, the terminal software should think about stopping before it breaks more plastic gears.",InWork,ASIL-D,"Non-verifiable anthropomorphic instruction ('think about stopping', 'breaks more plastic gears').",REQ-GOOD-016,
REQ-LLD-082,"When dispensing hardware throws an alert, the local interface loop should stop running things until a repair technician fixes it.",InWork,ASIL-D,Unbounded operational block timeframe ('until a repair technician fixes it').,REQ-GOOD-016,
REQ-LLD-083,"If an approval token takes forever to get to the controller, the middleware should run an auto-reversal scheme automatically.",InWork,ASIL-D,Non-measurable boundary definition ('takes forever').,REQ-GOOD-017,
REQ-LLD-084,"When token delays happen inside the middleware application, the system should reverse ledger changes nicely to avoid complaints.",InWork,ASIL-D,Subjective risk framework statement ('nicely to avoid complaints').,REQ-GOOD-017,
REQ-LLD-085,"When a customer wants a lot of cash, the terminal must quickly check if the vault box has enough money left inside it.",InWork,ASIL-A,"Ambiguous parameters with no numeric constraints ('a lot of cash', 'quickly check').",REQ-GOOD-018,
REQ-LLD-086,"If the user requests more money than the vault holds, the screen must display an insufficient funds alert in a nice bold font.",InWork,ASIL-A,Focuses on aesthetic attributes ('nice bold font') instead of structural logic.,REQ-GOOD-018,
REQ-LLD-087,The middleware application should isolate tenant data structures so perfectly that cross-site leakage is completely impossible.,InWork,ASIL-D,Idealistic requirement containing an unachievable target ('completely impossible').,REQ-GOOD-019,
REQ-LLD-088,"Where multi-tenant message routing logic is running, it must separate data lines clearly so info does not mix up weirdly.",InWork,ASIL-D,Highly informal and imprecise operational description ('mix up weirdly').,REQ-GOOD-019,
REQ-LLD-089,"When fraud flags are raised by the gateway, the host bank system should freeze everything instantly to protect user funds.",InWork,ASIL-D,Unquantified scope block commands ('freeze everything instantly').,REQ-GOOD-020,
REQ-LLD-090,"If a bad transaction signature is caught by security routers, the system must block it fast before any money is lost.",InWork,ASIL-D,"Vague timelines and emotional targets ('block it fast', 'before any money is lost').",REQ-GOOD-020,
REQ-LLD-091,"If the terminal box is cracked open by bad guys, the local computer must delete its keys before the bad guys steal them.",InWork,ASIL-C,Non-technical security description utilizing slang terms ('cracked open by bad guys').,REQ-GOOD-021,
REQ-LLD-092,"When structural tamper alerts trigger at the terminal edge layer, state messages should fly up to the central cloud tracker.",InWork,ASIL-C,Highly informal phrasing ('state messages should fly up') lacking architectural precision.,REQ-GOOD-021,
REQ-LLD-093,The Transaction Authorization Router should send packets down to the account ledger database as fast as humanly possible.,InWork,ASIL-B,Immeasurable performance milestone metric ('as fast as humanly possible').,REQ-GOOD-022,
REQ-LLD-094,"When a core request is captured by routing modules, it should hit the ledger DB database layer within a split second.",InWork,ASIL-B,Uses colloquial timing expressions ('within a split second') instead of clean millisecond bounds.,REQ-GOOD-022,
REQ-LLD-095,"If the terminal wall socket power goes dead, the system should save everything to memory and hope it boots up fine later.",InWork,ASIL-D,"Highly casual, non-falsifiable expectation language ('hope it boots up fine later').",REQ-GOOD-023,
REQ-LLD-096,"Where brownouts happen at the physical station, the terminal should run on backup power long enough to make sure logs look good.",InWork,ASIL-D,Intentionally subjective evaluation metric ('long enough to make sure logs look good').,REQ-GOOD-023,
REQ-LLD-097,"When a user hits the cancel button during PIN checks, the card slot mechanism should unlock immediately without getting jammed.",InWork,ASIL-A,Outlines a mechanical wish ('without getting jammed') rather than verified low-level software actions.,REQ-GOOD-024,
