ID,EARS Requirement,ASIL,Fault ID,Detection Time,Reaction Time,Debounce,Recovery,Safe State,DTC,Verification
SYS_REQ_0001,"WHILE VehSpd is within [0 kph, 250 kph], THE SYSTEM SHALL process the VehSpd value within [50 ms].",ASIL B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0002,"IF VehSpd > 250 kph, THEN THE SYSTEM SHALL: - detect F_OOR_HI_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_HI - transition to safe state.",ASIL B,F_OOR_HI_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_OOR_HI,HIL_FaultInjection
SYS_REQ_0003,"IF VehSpd < 0 kph, THEN THE SYSTEM SHALL: - detect F_OOR_LO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_OOR_LO - transition to safe state.",ASIL B,F_OOR_LO_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_OOR_LO,HIL_FaultInjection
SYS_REQ_0004,"IF VehSpd is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_TO - transition to safe state.",ASIL B,F_TO_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_TO,HIL_FaultInjection
SYS_REQ_0005,"IF VehSpd AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_ALC - transition to safe state.",ASIL B,F_ALC_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_ALC,HIL_FaultInjection
SYS_REQ_0006,"IF VehSpd CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_VehSpd within [10 ms] - react within [10 ms] - set DTC_101_VSPD_CRC - transition to safe state.",ASIL B,F_CRC_VEHSPD,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_101_VSPD_CRC,HIL_FaultInjection
SYS_REQ_0007,"WHILE F_TO_VEHSPD is active AND VehSpd is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_VEHSPD and extinguish DTC_101_VSPD_TO within [20 ms].",ASIL B,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_101_VSPD_TO,HIL_RecoveryTest
SYS_REQ_0008,"WHILE YawRate is within [-120 deg/s, 120 deg/s], THE SYSTEM SHALL process the YawRate value within [50 ms].",ASIL B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0009,"IF YawRate > 120 deg/s, THEN THE SYSTEM SHALL: - detect F_OOR_HI_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_OOR_HI - transition to safe state.",ASIL B,F_OOR_HI_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_OOR_HI,HIL_FaultInjection
SYS_REQ_0010,"IF YawRate < -120 deg/s, THEN THE SYSTEM SHALL: - detect F_OOR_LO_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_OOR_LO - transition to safe state.",ASIL B,F_OOR_LO_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_OOR_LO,HIL_FaultInjection
SYS_REQ_0011,"IF YawRate is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_TO - transition to safe state.",ASIL B,F_TO_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_TO,HIL_FaultInjection
SYS_REQ_0012,"IF YawRate AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_ALC - transition to safe state.",ASIL B,F_ALC_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_ALC,HIL_FaultInjection
SYS_REQ_0013,"IF YawRate CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_YawRate within [10 ms] - react within [10 ms] - set DTC_102_YAW_CRC - transition to safe state.",ASIL B,F_CRC_YAWRATE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_102_YAW_CRC,HIL_FaultInjection
SYS_REQ_0014,"WHILE F_TO_YAWRATE is active AND YawRate is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_YAWRATE and extinguish DTC_102_YAW_TO within [20 ms].",ASIL B,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_102_YAW_TO,HIL_RecoveryTest
SYS_REQ_0015,"WHILE DriverTorque is within [-15 Nm, 15 Nm], THE SYSTEM SHALL process the DriverTorque value within [30 ms].",ASIL D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0016,"IF DriverTorque > 15 Nm, THEN THE SYSTEM SHALL: - detect F_OOR_HI_DriverTorque within [10 ms] - react within [10 ms] - set DTC_103_TRQ_OOR_HI - transition to safe state.",ASIL D,F_OOR_HI_DRIVERTORQUE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_103_TRQ_OOR_HI,HIL_FaultInjection
SYS_REQ_0017,"IF DriverTorque < -15 Nm, THEN THE SYSTEM SHALL: - detect F_OOR_LO_DriverTorque within [10 ms] - react within [10 ms] - set DTC_103_TRQ_OOR_LO - transition to safe state.",ASIL D,F_OOR_LO_DRIVERTORQUE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_103_TRQ_OOR_LO,HIL_FaultInjection
SYS_REQ_0018,"IF DriverTorque is not received within [30 ms], THEN THE SYSTEM SHALL: - detect F_TO_DriverTorque within [10 ms] - react within [10 ms] - set DTC_103_TRQ_TO - transition to safe state.",ASIL D,F_TO_DRIVERTORQUE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_103_TRQ_TO,HIL_FaultInjection
SYS_REQ_0019,"IF DriverTorque AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_DriverTorque within [10 ms] - react within [10 ms] - set DTC_103_TRQ_ALC - transition to safe state.",ASIL D,F_ALC_DRIVERTORQUE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_103_TRQ_ALC,HIL_FaultInjection
SYS_REQ_0020,"IF DriverTorque CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_DriverTorque within [10 ms] - react within [10 ms] - set DTC_103_TRQ_CRC - transition to safe state.",ASIL D,F_CRC_DRIVERTORQUE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_103_TRQ_CRC,HIL_FaultInjection
SYS_REQ_0021,"WHILE F_TO_DRIVERTORQUE is active AND DriverTorque is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_DRIVERTORQUE and extinguish DTC_103_TRQ_TO within [20 ms].",ASIL D,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_103_TRQ_TO,HIL_RecoveryTest
SYS_REQ_0022,"WHILE SteeringAngle is within [-720 deg, 720 deg], THE SYSTEM SHALL process the SteeringAngle value within [30 ms].",ASIL B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0023,"IF SteeringAngle > 720 deg, THEN THE SYSTEM SHALL: - detect F_OOR_HI_SteeringAngle within [10 ms] - react within [10 ms] - set DTC_104_SWA_OOR_HI - transition to safe state.",ASIL B,F_OOR_HI_STEERINGANGLE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_104_SWA_OOR_HI,HIL_FaultInjection
SYS_REQ_0024,"IF SteeringAngle < -720 deg, THEN THE SYSTEM SHALL: - detect F_OOR_LO_SteeringAngle within [10 ms] - react within [10 ms] - set DTC_104_SWA_OOR_LO - transition to safe state.",ASIL B,F_OOR_LO_STEERINGANGLE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_104_SWA_OOR_LO,HIL_FaultInjection
SYS_REQ_0025,"IF SteeringAngle is not received within [30 ms], THEN THE SYSTEM SHALL: - detect F_TO_SteeringAngle within [10 ms] - react within [10 ms] - set DTC_104_SWA_TO - transition to safe state.",ASIL B,F_TO_STEERINGANGLE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_104_SWA_TO,HIL_FaultInjection
SYS_REQ_0026,"IF SteeringAngle AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_SteeringAngle within [10 ms] - react within [10 ms] - set DTC_104_SWA_ALC - transition to safe state.",ASIL B,F_ALC_STEERINGANGLE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_104_SWA_ALC,HIL_FaultInjection
SYS_REQ_0027,"IF SteeringAngle CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_SteeringAngle within [10 ms] - react within [10 ms] - set DTC_104_SWA_CRC - transition to safe state.",ASIL B,F_CRC_STEERINGANGLE,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_104_SWA_CRC,HIL_FaultInjection
SYS_REQ_0028,"WHILE F_TO_STEERINGANGLE is active AND SteeringAngle is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_STEERINGANGLE and extinguish DTC_104_SWA_TO within [20 ms].",ASIL B,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_104_SWA_TO,HIL_RecoveryTest
SYS_REQ_0029,"WHILE TurnSignal is within [0 enum, 3 enum], THE SYSTEM SHALL process the TurnSignal value within [250 ms].",QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0030,"IF TurnSignal > 3 enum, THEN THE SYSTEM SHALL: - detect F_OOR_HI_TurnSignal within [10 ms] - react within [10 ms] - set DTC_105_TRN_OOR_HI - transition to safe state.",QM,F_OOR_HI_TURNSIGNAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_105_TRN_OOR_HI,HIL_FaultInjection
SYS_REQ_0031,"IF TurnSignal < 0 enum, THEN THE SYSTEM SHALL: - detect F_OOR_LO_TurnSignal within [10 ms] - react within [10 ms] - set DTC_105_TRN_OOR_LO - transition to safe state.",QM,F_OOR_LO_TURNSIGNAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_105_TRN_OOR_LO,HIL_FaultInjection
SYS_REQ_0032,"IF TurnSignal is not received within [250 ms], THEN THE SYSTEM SHALL: - detect F_TO_TurnSignal within [10 ms] - react within [10 ms] - set DTC_105_TRN_TO - transition to safe state.",QM,F_TO_TURNSIGNAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_105_TRN_TO,HIL_FaultInjection
SYS_REQ_0033,"IF TurnSignal AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_TurnSignal within [10 ms] - react within [10 ms] - set DTC_105_TRN_ALC - transition to safe state.",QM,F_ALC_TURNSIGNAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_105_TRN_ALC,HIL_FaultInjection
SYS_REQ_0034,"IF TurnSignal CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_TurnSignal within [10 ms] - react within [10 ms] - set DTC_105_TRN_CRC - transition to safe state.",QM,F_CRC_TURNSIGNAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_105_TRN_CRC,HIL_FaultInjection
SYS_REQ_0035,"WHILE F_TO_TURNSIGNAL is active AND TurnSignal is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_TURNSIGNAL and extinguish DTC_105_TRN_TO within [20 ms].",QM,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_105_TRN_TO,HIL_RecoveryTest
SYS_REQ_0036,"WHILE BrakeStatus is within [0 enum, 1 enum], THE SYSTEM SHALL process the BrakeStatus value within [50 ms].",ASIL B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0037,"IF BrakeStatus > 1 enum, THEN THE SYSTEM SHALL: - detect F_OOR_HI_BrakeStatus within [10 ms] - react within [10 ms] - set DTC_106_BRK_OOR_HI - transition to safe state.",ASIL B,F_OOR_HI_BRAKESTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_106_BRK_OOR_HI,HIL_FaultInjection
SYS_REQ_0038,"IF BrakeStatus < 0 enum, THEN THE SYSTEM SHALL: - detect F_OOR_LO_BrakeStatus within [10 ms] - react within [10 ms] - set DTC_106_BRK_OOR_LO - transition to safe state.",ASIL B,F_OOR_LO_BRAKESTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_106_BRK_OOR_LO,HIL_FaultInjection
SYS_REQ_0039,"IF BrakeStatus is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_BrakeStatus within [10 ms] - react within [10 ms] - set DTC_106_BRK_TO - transition to safe state.",ASIL B,F_TO_BRAKESTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_106_BRK_TO,HIL_FaultInjection
SYS_REQ_0040,"IF BrakeStatus AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_BrakeStatus within [10 ms] - react within [10 ms] - set DTC_106_BRK_ALC - transition to safe state.",ASIL B,F_ALC_BRAKESTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_106_BRK_ALC,HIL_FaultInjection
SYS_REQ_0041,"IF BrakeStatus CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_BrakeStatus within [10 ms] - react within [10 ms] - set DTC_106_BRK_CRC - transition to safe state.",ASIL B,F_CRC_BRAKESTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_106_BRK_CRC,HIL_FaultInjection
SYS_REQ_0042,"WHILE F_TO_BRAKESTATUS is active AND BrakeStatus is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_BRAKESTATUS and extinguish DTC_106_BRK_TO within [20 ms].",ASIL B,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_106_BRK_TO,HIL_RecoveryTest
SYS_REQ_0043,"WHILE AccelPedal is within [0 %, 100 %], THE SYSTEM SHALL process the AccelPedal value within [50 ms].",QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0044,"IF AccelPedal > 100 %, THEN THE SYSTEM SHALL: - detect F_OOR_HI_AccelPedal within [10 ms] - react within [10 ms] - set DTC_107_ACC_OOR_HI - transition to safe state.",QM,F_OOR_HI_ACCELPEDAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_107_ACC_OOR_HI,HIL_FaultInjection
SYS_REQ_0045,"IF AccelPedal < 0 %, THEN THE SYSTEM SHALL: - detect F_OOR_LO_AccelPedal within [10 ms] - react within [10 ms] - set DTC_107_ACC_OOR_LO - transition to safe state.",QM,F_OOR_LO_ACCELPEDAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_107_ACC_OOR_LO,HIL_FaultInjection
SYS_REQ_0046,"IF AccelPedal is not received within [50 ms], THEN THE SYSTEM SHALL: - detect F_TO_AccelPedal within [10 ms] - react within [10 ms] - set DTC_107_ACC_TO - transition to safe state.",QM,F_TO_ACCELPEDAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_107_ACC_TO,HIL_FaultInjection
SYS_REQ_0047,"IF AccelPedal AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_AccelPedal within [10 ms] - react within [10 ms] - set DTC_107_ACC_ALC - transition to safe state.",QM,F_ALC_ACCELPEDAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_107_ACC_ALC,HIL_FaultInjection
SYS_REQ_0048,"IF AccelPedal CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_AccelPedal within [10 ms] - react within [10 ms] - set DTC_107_ACC_CRC - transition to safe state.",QM,F_CRC_ACCELPEDAL,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_107_ACC_CRC,HIL_FaultInjection
SYS_REQ_0049,"WHILE F_TO_ACCELPEDAL is active AND AccelPedal is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_ACCELPEDAL and extinguish DTC_107_ACC_TO within [20 ms].",QM,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_107_ACC_TO,HIL_RecoveryTest
SYS_REQ_0050,"WHILE WiperStatus is within [0 enum, 3 enum], THE SYSTEM SHALL process the WiperStatus value within [250 ms].",QM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0051,"IF WiperStatus > 3 enum, THEN THE SYSTEM SHALL: - detect F_OOR_HI_WiperStatus within [10 ms] - react within [10 ms] - set DTC_108_WIP_OOR_HI - transition to safe state.",QM,F_OOR_HI_WIPERSTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_108_WIP_OOR_HI,HIL_FaultInjection
SYS_REQ_0052,"IF WiperStatus < 0 enum, THEN THE SYSTEM SHALL: - detect F_OOR_LO_WiperStatus within [10 ms] - react within [10 ms] - set DTC_108_WIP_OOR_LO - transition to safe state.",QM,F_OOR_LO_WIPERSTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_108_WIP_OOR_LO,HIL_FaultInjection
SYS_REQ_0053,"IF WiperStatus is not received within [250 ms], THEN THE SYSTEM SHALL: - detect F_TO_WiperStatus within [10 ms] - react within [10 ms] - set DTC_108_WIP_TO - transition to safe state.",QM,F_TO_WIPERSTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_108_WIP_TO,HIL_FaultInjection
SYS_REQ_0054,"IF WiperStatus AliveCounter is unchanged for [3 consecutive cycles], THEN THE SYSTEM SHALL: - detect F_ALC_WiperStatus within [10 ms] - react within [10 ms] - set DTC_108_WIP_ALC - transition to safe state.",QM,F_ALC_WIPERSTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_108_WIP_ALC,HIL_FaultInjection
SYS_REQ_0055,"IF WiperStatus CRC is invalid, THEN THE SYSTEM SHALL: - detect F_CRC_WiperStatus within [10 ms] - react within [10 ms] - set DTC_108_WIP_CRC - transition to safe state.",QM,F_CRC_WIPERSTATUS,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_108_WIP_CRC,HIL_FaultInjection
SYS_REQ_0056,"WHILE F_TO_WIPERSTATUS is active AND WiperStatus is valid for [500 ms], THE SYSTEM SHALL clear the fault F_TO_WIPERSTATUS and extinguish DTC_108_WIP_TO within [20 ms].",QM,N/A,N/A,20 ms,500 ms,N/A,Resume operation,DTC_108_WIP_TO,HIL_RecoveryTest
SYS_REQ_0057,"WHILE LKATorqueReq is within [-3 Nm, 3 Nm], THE SYSTEM SHALL process the LKATorqueReq value within [30 ms].",ASIL D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIL_SignalTest
SYS_REQ_0058,"IF LKATorqueReq > 3 Nm, THEN THE SYSTEM SHALL: - detect F_OOR_HI_LKATorqueReq within [10 ms] - react within [10 ms] - set DTC_110_LKA_OOR_HI - transition to safe state.",ASIL D,F_OOR_HI_LKATORQUEREQ,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_110_LKA_OOR_HI,HIL_FaultInjection
SYS_REQ_0059,"IF LKATorqueReq < -3 Nm, THEN THE SYSTEM SHALL: - detect F_OOR_LO_LKATorqueReq within [10 ms] - react within [10 ms] - set DTC_110_LKA_OOR_LO - transition to safe state.",ASIL D,F_OOR_LO_LKATORQUEREQ,10 ms,10 ms,3 cycles,valid for 500 ms,"Torque = 0 Nm, LKA OFF, Warning ON",DTC_110_LKA_OOR_LO,HIL_FaultInjection
